REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Males,2 years,Persons,249,units ,0,v1060794385,70.2.5,31867,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,3 years,Persons,249,units ,0,v1060794386,70.2.6,31332,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,4 years,Persons,249,units ,0,v1060794387,70.2.7,31272,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,5 to 9 years,Persons,249,units ,0,v1060794388,70.2.8,162599,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,5 years,Persons,249,units ,0,v1060794389,70.2.9,31727,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,6 years,Persons,249,units ,0,v1060794390,70.2.10,32474,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,7 years,Persons,249,units ,0,v1060794391,70.2.11,31751,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,8 years,Persons,249,units ,0,v1060794392,70.2.12,33094,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,9 years,Persons,249,units ,0,v1060794393,70.2.13,33553,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,10 to 14 years,Persons,249,units ,0,v1060794394,70.2.14,176592,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,10 years,Persons,249,units ,0,v1060794395,70.2.15,34855,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,11 years,Persons,249,units ,0,v1060794396,70.2.16,35826,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,12 years,Persons,249,units ,0,v1060794397,70.2.17,35362,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,13 years,Persons,249,units ,0,v1060794398,70.2.18,35475,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,14 years,Persons,249,units ,0,v1060794399,70.2.19,35074,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,15 to 19 years,Persons,249,units ,0,v1060794400,70.2.20,183057,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,15 years,Persons,249,units ,0,v1060794401,70.2.21,36182,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Males,16 years,Persons,249,units ,0,v1060794402,70.2.22,36919,,,,0
